conference,year,season,session_id,paper_id,area_code,area_name,tier1,map_source,title
IEDM,2023,S2023-24,14,14-1,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,30 Mb/mm2/layer 3D eDRAM Computing-in-Memory with Embedded BEOL Peripherals and Local
IEDM,2023,S2023-24,14,14-2,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Counteractive Coupling IGZO/CNT Hybrid 2T0C DRAM Accelerating RRAM-based Computing-In
IEDM,2023,S2023-24,14,14-3,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,CMOS-Fabricated Ring Surface Ion Trap with TSV Integration
IEDM,2023,S2023-24,14,14-5,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,On-chip zero-field spin wave frequency multiplier and its application on qubit quantum control
IEDM,2023,S2023-24,14,14-6,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Back-end-of-line integration of 2D materials on silicon microchips
IEDM,2023,S2023-24,15,15-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Generative AI on a Budget: Processing Transformer-based Neural Networks at the Edge
IEDM,2023,S2023-24,15,15-2,D2,Memory Devices & Technology,Devices & Process Technology,session,Design of Analog-AI Hardware Accelerators for Transformer-based Language Models
IEDM,2023,S2023-24,15,15-3,D2,Memory Devices & Technology,Devices & Process Technology,session,The Era of Generative Artificial Intelligence: In-Memory Computing Perspective
IEDM,2023,S2023-24,15,15-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Innovations For Energy Efficient Generative AI
IEDM,2023,S2023-24,15,15-5,D2,Memory Devices & Technology,Devices & Process Technology,session,Beyond Exascale: A paradigm shift for AI and HPC
IEDM,2023,S2023-24,15,15-6,D2,Memory Devices & Technology,Devices & Process Technology,session,Advanced Packaging Technologies in Memory Applications for Future Generative AI Era
IEDM,2023,S2023-24,15,15-7,D2,Memory Devices & Technology,Devices & Process Technology,session,NVDRAM: A 32Gb Dual Layer 3D Stacked Non-volatile Ferroelectric Memory with Near-DRAM
IEDM,2023,S2023-24,16,16-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Geometric scattering describing mode-coupling effects in non-uniform cross-sections for non
IEDM,2023,S2023-24,16,16-2,D2,Memory Devices & Technology,Devices & Process Technology,session,New Insights into the Interface Trap Generation during Hot Carrier Degradation: Impacts of Full
IEDM,2023,S2023-24,16,16-3,D2,Memory Devices & Technology,Devices & Process Technology,session,Three-Dimensional Phase-Field based Quantum Transport Simulations of Polar Topological
